City,Labor Force,Employment,Unemployment Number,Unemployment Rate
Rocklin,"32,600","31,500","1,100",3.3%
Roseville,"68,000","65,800","2,200",3.2%
Sunnyside Tahoe,700,700,0,4.3%
Tahoe Vista,900,800,0,2.7%
Beckwourth,110,110,0,0.0%
Belden,0,0,0,0.0%
Bucks Lake,20,20,0,0.0%
C Road,80,70,10,11.4%
Canyondam,30,10,20,64.7%
Chester,"1,220","1,170",50,4.2%
Chilcoot Vinton,10,0,10,100.0%
Clio,20,20,0,0.0%
Crescent Mills,130,130,0,0.0%
Cromberg,60,60,0,0.0%
Delleker,260,260,0,0.0%
East Quincy,"1,240","1,200",50,3.6%
East Shore,120,90,30,21.6%
Graeagle,290,280,10,2.8%
Greenhorn,140,120,10,8.1%
Greenville,250,250,0,1.6%
Hamilton Branch,240,200,30,14.3%
Indian Falls,0,0,0,0.0%
Iron Horse,180,160,30,13.7%
Johnsville,0,0,0,0.0%
Keddie,20,20,10,20.8%
La Porte,0,0,0,0.0%
Lake Almanor Country Club,90,90,0,0.0%
Lake Almanor Peninsula,100,100,0,0.0%
Lake Almanor West,60,60,10,8.2%
Little Grass Valley,0,0,0,0.0%
Meadow Valley,210,180,30,12.9%
Mohawk Vista,70,70,10,8.3%
Paxton,0,0,0,0.0%
Plumas Eureka,110,110,0,3.7%
Portola,830,750,80,9.8%
Prattville,10,10,0,0.0%
Quincy,900,860,40,4.7%
Spring Garden,0,0,0,0.0%
Taylorsville,70,50,20,22.9%
Tobin,0,0,0,0.0%
Twain,0,0,0,0.0%
Valley Ranch,0,0,0,0.0%
Whitehawk,10,10,0,0.0%
Anderson,"4,200","3,900",300,6.1%
Burney,"1,300","1,300",100,3.9%
Cottonwood,"1,300","1,200",100,6.0%
Fall River Mills,200,100,0,11.9%
Redding,"39,700","38,100","1,600",4.1%
Shasta Lake,"4,400","4,200",200,4.6%
Shingletown,600,600,0,6.4%
Banning,"11,200","10,600",600,5.3%
Beaumont,"21,900","21,200",700,3.3%
Bermuda Dunes,"3,900","3,700",200,4.1%
Blythe,"6,000","5,800",300,4.7%
Cabazon,"1,400","1,300",200,10.4%
Calimesa,"3,400","3,200",200,4.8%
Canyon Lake,"5,600","5,400",200,3.2%
Cathedral,"26,600","25,100","1,500",5.5%
Cherry Valley,"3,400","3,300",100,4.0%
Coachella,"20,500","17,900","2,700",13.0%
Corona,"84,000","81,300","2,600",3.1%
Desert Hot Springs,"11,700","10,900",800,6.9%
East Hemet,"8,000","7,400",600,7.8%
Eastvale,"31,900","30,900","1,000",3.0%
El Cerrito,"2,400","2,300",100,3.1%
Hemet,"29,600","27,900","1,700",5.8%
Highgrove,"2,200","2,000",200,8.0%
Home Gardens,"5,600","5,400",200,3.5%
Homeland,"3,000","2,900",200,5.0%
Idyllwild Pine Cove,"1,400","1,300",0,1.8%
Indian Wells,"1,800","1,800",0,2.6%
Indio,"41,100","38,300","2,900",7.0%
Jurupa Valley,"47,800","46,000","1,800",3.7%
La Quinta,"19,300","18,200","1,100",5.8%
Lake Elsinore,"29,900","28,700","1,200",3.9%
Lakeland Village,"5,800","5,400",400,7.4%
Lakeview,"1,100","1,000",100,5.6%
March AFB,300,300,0,4.8%
Mecca,"3,400","3,200",200,4.7%
Menifee,"38,600","37,000","1,600",4.1%
Moreno Valley,"94,400","90,200","4,200",4.5%
Murrieta,"55,100","53,300","1,800",3.4%
Norco,"11,700","11,300",400,3.6%
Nuevo,"3,100","2,900",200,5.6%
Palm Desert,"25,200","23,700","1,600",6.2%
Palm Springs,"23,100","22,000","1,100",4.9%
Perris,"30,500","29,000","1,400",4.7%
Rancho Mirage,"6,400","6,200",200,3.7%
Riverside,"153,600","147,800","5,800",3.7%
Romoland,800,800,0,2.8%
San Jacinto,"18,700","17,800","1,000",5.2%
Temecula,"55,200","53,300","1,900",3.4%
Thousand Palms,"2,800","2,700",100,3.5%
Valle Vista,"6,600","6,200",300,5.0%
Wildomar,"17,500","16,900",700,3.8%
Winchester,"1,200","1,100",100,7.8%
Woodcrest,"8,400","8,000",300,4.1%
Arden Arcade,"45,800","43,400","2,500",5.4%
Carmichael,"31,200","29,900","1,300",4.1%
Citrus Heights,"44,000","42,400","1,600",3.7%
Elk Grove,"83,400","80,500","2,900",3.4%
Fair Oaks,"15,300","14,700",500,3.4%
Florin,"20,400","19,200","1,200",5.8%
Folsom,"37,500","36,300","1,100",3.0%
Foothill Farms,"15,300","14,700",600,4.2%
Galt,"11,500","11,000",500,4.3%
Gold River,"3,500","3,400",100,2.9%
Isleton,300,300,0,5.5%
La Riviera,"5,800","5,600",200,2.8%
North Highlands,"19,500","18,900",600,3.3%
Orangevale,"17,200","16,800",500,2.7%
Rancho Cordova,"35,200","33,800","1,400",4.0%
Rancho Murieta,"2,200","2,200",0,1.7%
Rio Linda,"6,800","6,500",200,3.2%
Rosemont,"12,400","11,900",500,3.9%
