City,Median Age
Challenge-Brownsville ,47.70
Alamo ,47.70
Wallace ,47.80
Saratoga ,47.80
Santa Ynez ,47.80
Round Mountain ,47.80
Rancho Palos Verdes ,47.80
Orinda ,47.80
Malibu ,47.80
Dobbins ,47.80
Columbia ,47.80
Alpine Village ,47.80
Camino ,47.80
Aspen Springs ,47.80
Walnut Creek ,47.90
Tiburon ,48.00
North Gate ,48.00
Mira Monte ,48.00
Los Olivos ,48.00
Day Valley ,48.00
Blackhawk ,48.00
Sleepy Hollow ,48.10
Pacific Grove ,48.10
Orick ,48.10
Avery ,48.10
Inyokern ,48.20
Guerneville ,48.20
Atherton ,48.20
Pine Valley ,48.30
Palo Cedro ,48.30
Meadow Vista ,48.30
Laguna Beach ,48.30
Bend ,48.30
Auburn Lake Trails ,48.30
Shell Ridge ,48.30
Monte Sereno ,48.30
Oakhurst ,48.40
Dixon Lane-Meadow Creek ,48.40
Morada ,48.40
Rolling Hills Estates ,48.50
Rancho Tehama Reserve ,48.50
Phillipsville ,48.50
Lucerne ,48.50
Larkspur ,48.50
Etna ,48.50
Canyondam ,48.50
Occidental ,48.50
Del Mar ,48.60
Westlake Village ,48.70
Clarksburg ,48.70
Woodside ,48.80
Sattley ,48.80
Oroville East ,48.80
Calimesa ,48.80
Bear Valley ,48.80
Benton ,48.80
Santa Rosa Valley ,48.90
Red Corral ,48.90
Morro Bay ,48.90
Lagunitas-Forest Knolls ,48.90
Flournoy ,48.90
Lake Sherwood ,49.00
Ladera Heights ,49.00
Iron Horse ,49.00
Descanso ,49.00
Magalia ,49.00
Coloma ,49.00
Ridgemark ,49.10
Floriston ,49.10
Bradbury ,49.10
Summerland ,49.20
Sonoma ,49.20
Boulevard ,49.20
Fish Camp ,49.20
Sunol ,49.30
Mariposa ,49.30
Diablo ,49.30
Bolinas ,49.30
Carnelian Bay ,49.30
Sutter Creek ,49.40
Ahwahnee ,49.40
